Year,Country,CountryCode,Variable,VariableCode,UnconsolidatedVariableCode,UnconsolidatedVariableName,ActivityCode,Activity,ActivityCombination,Value,UnitType,ValueUSD,Metadata
2004,Afghanistan,004,Employees,04,04,Number of employees,15,Food and beverages,15,2170.0,N,NA,
2004,Afghanistan,004,Employees,04,04,Number of employees,17,Textiles,17,1870.0,N,NA,
2004,Afghanistan,004,Employees,04,04,Number of employees,20,Wood products (excl. furniture),20,970.0,N,NA,
2004,Afghanistan,004,Employees,04,04,Number of employees,22,Printing and publishing,22,990.0,N,NA,
2004,Afghanistan,004,Employees,04,04,Number of employees,24,Chemicals and chemical products,24,1170.0,N,NA,
2004,Afghanistan,004,Employees,04,04,Number of employees,25,Rubber and plastics products,25,1500.0,N,NA,
2004,Afghanistan,004,Employees,04,04,Number of employees,26,Non-metallic mineral products,26,1640.0,N,NA,
2004,Afghanistan,004,Employees,04,04,Number of employees,28,Fabricated metal products,28,1200.0,N,NA,
2004,Afghanistan,004,Employees,04,04,Number of employees,36,Furniture; manufacturing n.e.c.,36,2625.0,N,NA,
2004,Afghanistan,004,Wages and salaries,05,05,Wages and salaries paid to employees,15,Food and beverages,15,1.0416E8,M,2177015.8,
2004,Afghanistan,004,Wages and salaries,05,05,Wages and salaries paid to employees,17,Textiles,17,8.976E7,M,1876045.87,
2004,Afghanistan,004,Wages and salaries,05,05,Wages and salaries paid to employees,20,Wood products (excl. furniture),20,4.656E7,M,973136.09,
2004,Afghanistan,004,Wages and salaries,05,05,Wages and salaries paid to employees,22,Printing and publishing,22,3.432E7,M,717311.66,
2004,Afghanistan,004,Wages and salaries,05,05,Wages and salaries paid to employees,24,Chemicals and chemical products,24,5.616E7,M,1173782.71,
2004,Afghanistan,004,Wages and salaries,05,05,Wages and salaries paid to employees,25,Rubber and plastics products,25,7.2E7,M,1504849.63,
2004,Afghanistan,004,Wages and salaries,05,05,Wages and salaries paid to employees,26,Non-metallic mineral products,26,7.872E7,M,1645302.26,
2004,Afghanistan,004,Wages and salaries,05,05,Wages and salaries paid to employees,28,Fabricated metal products,28,5.76E7,M,1203879.7,
2004,Afghanistan,004,Wages and salaries,05,05,Wages and salaries paid to employees,36,Furniture; manufacturing n.e.c.,36,1.26E8,M,2633486.85,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),15,Food and beverages,15,3.58E8,M,7482446.77,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),17,Textiles,17,1.37E8,M,2863394.43,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),20,Wood products (excl. furniture),20,2.17E8,M,4535449.58,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),22,Printing and publishing,22,7.3E7,M,1525750.32,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),24,Chemicals and chemical products,24,2.04E8,M,4263740.61,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),25,Rubber and plastics products,25,1.84E8,M,3845726.83,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),26,Non-metallic mineral products,26,1.27E8,M,2654387.54,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),28,Fabricated metal products,28,8.3E7,M,1734757.21,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),36,Furniture; manufacturing n.e.c.,36,4.6E7,M,961431.71,
2004,Albania,008,Employees,04,04,Number of employees,10,Mining of coal and lignite; extraction of peat,10,200.0,N,NA,
2004,Albania,008,Employees,04,04,Number of employees,11,"Extraction of crude oil and natural gas, etc.",11,4241.0,N,NA,
2004,Albania,008,Employees,04,04,Number of employees,13,Mining of metal ores,13,316.0,N,NA,
