Year,Country,CountryCode,Variable,VariableCode,UnconsolidatedVariableCode,UnconsolidatedVariableName,ActivityCode,Activity,ActivityCombination,Value,UnitType,ValueUSD,Metadata
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),15,Food and beverages,15,3.58E8,M,7482446.77,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),17,Textiles,17,1.37E8,M,2863394.43,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),20,Wood products (excl. furniture),20,2.17E8,M,4535449.58,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),22,Printing and publishing,22,7.3E7,M,1525750.32,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),24,Chemicals and chemical products,24,2.04E8,M,4263740.61,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),25,Rubber and plastics products,25,1.84E8,M,3845726.83,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),26,Non-metallic mineral products,26,1.27E8,M,2654387.54,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),28,Fabricated metal products,28,8.3E7,M,1734757.21,
2004,Afghanistan,004,Output,14,14,Output (valuation not defined),36,Furniture; manufacturing n.e.c.,36,4.6E7,M,961431.71,
2004,Albania,008,Output,14,11,Output at basic prices,11,"Extraction of crude oil and natural gas, etc.",11,5.995762E9,M,5.833585522E7,
2004,Albania,008,Output,14,11,Output at basic prices,13,Mining of metal ores,13,6.52909E8,M,6352487.79,
2004,Albania,008,Output,14,11,Output at basic prices,14,Other mining and quarrying,14,2.229842E9,M,2.169528078E7,
2004,Albania,008,Output,14,11,Output at basic prices,15,Food and beverages,15,1.7503326E10,M,1.7029886968E8,
2004,Albania,008,Output,14,11,Output at basic prices,16,Tobacco products,16,2.64774E8,M,2576122.56,
2004,Albania,008,Output,14,11,Output at basic prices,17,Textiles,17B,6.360203E9,M,6.188168933E7,
2004,Albania,008,Output,14,11,Output at basic prices,19,"Leather, leather products and footwear",19,6.33192E9,M,6.160650947E7,
2004,Albania,008,Output,14,11,Output at basic prices,20,Wood products (excl. furniture),20,2.083457E9,M,2.027102575E7,
2004,Albania,008,Output,14,11,Output at basic prices,21,Paper and paper products,21A,4.038551E9,M,3.92931418E7,
2004,Albania,008,Output,14,11,Output at basic prices,23,"Coke,refined petroleum products,nuclear fuel",23,1.0940616E10,M,1.0644688549E8,
2004,Albania,008,Output,14,11,Output at basic prices,24,Chemicals and chemical products,24A,4.596093E9,M,4.471775495E7,
2004,Albania,008,Output,14,11,Output at basic prices,26,Non-metallic mineral products,26,1.3334129E10,M,1.2973460569E8,
2004,Albania,008,Output,14,11,Output at basic prices,27,Basic metals,27C,1.4732468E10,M,1.4333976571E8,
2004,Albania,008,Output,14,11,Output at basic prices,30,"Office, accounting and computing machinery",30C,1.571766E9,M,1.529252059E7,
2004,Albania,008,Output,14,11,Output at basic prices,36,Furniture; manufacturing n.e.c.,36,3.498983E9,M,3.404340695E7,
2004,Albania,008,Output,14,11,Output at basic prices,40,"Electricity, gas, steam and hot water supply",40,2.723329E10,M,2.649666986E8,
2004,Albania,008,Output,14,11,Output at basic prices,41,"Water collection, purification, distribution",41,5.417887E9,M,5.271341185E7,
2004,Argentina,032,Output,14,11,Output at basic prices,10,Mining of coal and lignite; extraction of peat,10A,3.470089E10,M,1.187044714178E10,
2004,Argentina,032,Output,14,11,Output at basic prices,13,Mining of metal ores,13A,4.462925E9,M,1.52667310003E9,Footnote:13 includes mining of uranium and thorium ores.
2004,Argentina,032,Output,14,11,Output at basic prices,15,Food and beverages,15,8.928331E10,M,3.054194898165E10,
2004,Argentina,032,Output,14,11,Output at basic prices,16,Tobacco products,16,2.043525E9,M,6.9904707042E8,
2004,Argentina,032,Output,14,11,Output at basic prices,17,Textiles,17,7.776774E9,M,2.66027138499E9,
2004,Argentina,032,Output,14,11,Output at basic prices,18,"Wearing apparel, fur",18,7.327723E9,M,2.50666044995E9,
2004,Argentina,032,Output,14,11,Output at basic prices,19,"Leather, leather products and footwear",19,6.81283E9,M,2.33052634676E9,
2004,Argentina,032,Output,14,11,Output at basic prices,20,Wood products (excl. furniture),20,4.600753E9,M,1.57382116997E9,
2004,Argentina,032,Output,14,11,Output at basic prices,21,Paper and paper products,21,8.357768E9,M,2.85901725481E9,
2004,Argentina,032,Output,14,11,Output at basic prices,22,Printing and publishing,22,7.188148E9,M,2.45891476793E9,
2004,Argentina,032,Output,14,11,Output at basic prices,23,"Coke,refined petroleum products,nuclear fuel",23,2.37247E10,M,8.11572260263E9,
2004,Argentina,032,Output,14,11,Output at basic prices,24,Chemicals and chemical products,24,3.559135E10,M,1.217505484382E10,
2004,Argentina,032,Output,14,11,Output at basic prices,25,Rubber and plastics products,25,1.259193E10,M,4.30743532739E9,
2004,Argentina,032,Output,14,11,Output at basic prices,26,Non-metallic mineral products,26,7.162907E9,M,2.45028035088E9,
2004,Argentina,032,Output,14,11,Output at basic prices,27,Basic metals,27,2.066012E10,M,7.06739401793E9,
2004,Argentina,032,Output,14,11,Output at basic prices,28,Fabricated metal products,28,1.055962E10,M,3.61222467341E9,
2004,Argentina,032,Output,14,11,Output at basic prices,29,Machinery and equipment n.e.c.,29,1.08033E10,M,3.6955824939E9,
2004,Argentina,032,Output,14,11,Output at basic prices,30,"Office, accounting and computing machinery",30,8.49966E8,M,2.907555534E8,
2004,Argentina,032,Output,14,11,Output at basic prices,31,Electrical machinery and apparatus,31,4.495271E9,M,1.53773798866E9,
2004,Argentina,032,Output,14,11,Output at basic prices,32,"Radio,television and communication equipment",32,1.254535E9,M,4.2915012857E8,
2004,Argentina,032,Output,14,11,Output at basic prices,33,"Medical, precision and optical instruments",33,1.496682E9,M,5.1198354189E8,
2004,Argentina,032,Output,14,11,Output at basic prices,34,"Motor vehicles, trailers, semi-trailers",34,1.707182E10,M,5.83991179834E9,
2004,Argentina,032,Output,14,11,Output at basic prices,35,Other transport equipment,35,1.078307E9,M,3.6886622349E8,
2004,Argentina,032,Output,14,11,Output at basic prices,36,Furniture; manufacturing n.e.c.,36,5.792823E9,M,1.9816033313E9,
2004,Argentina,032,Output,14,11,Output at basic prices,37,Recycling,37,4.04606E8,M,1.384072321E8,
2004,Argentina,032,Output,14,11,Output at basic prices,40,"Electricity, gas, steam and hot water supply",40,1.876168E10,M,6.41797748504E9,Footnote:40 exludes steam and hot water supply.
2004,Argentina,032,Output,14,11,Output at basic prices,41,"Water collection, purification, distribution",41,2.128549E9,M,7.2813199872E8,
2004,Armenia,051,Output,14,13,Output at producers' prices,13,Mining of metal ores,13,9.4614E10,M,1.7736217002E8,
2004,Armenia,051,Output,14,13,Output at producers' prices,14,Other mining and quarrying,14,2.485E9,M,4658348.58,
2004,Armenia,051,Output,14,13,Output at producers' prices,15,Food and beverages,15,1.66878E11,M,3.1282732163E8,
2004,Armenia,051,Output,14,13,Output at producers' prices,16,Tobacco products,16,1.4798E10,M,2.774013774E7,
2004,Armenia,051,Output,14,13,Output at producers' prices,17,Textiles,17,2.899E9,M,5434427.58,
2004,Armenia,051,Output,14,13,Output at producers' prices,18,"Wearing apparel, fur",18,2.235E9,M,4189701.84,
2004,Armenia,051,Output,14,13,Output at producers' prices,19,"Leather, leather products and footwear",19,3.34E8,M,626112.04,
2004,Armenia,051,Output,14,13,Output at producers' prices,20,Wood products (excl. furniture),20,1.743E9,M,3267405.06,
2004,Armenia,051,Output,14,13,Output at producers' prices,21,Paper and paper products,21,1.46E9,M,2736896.95,
2004,Armenia,051,Output,14,13,Output at producers' prices,22,Printing and publishing,22,7.12E9,M,1.334705911E7,
2004,Armenia,051,Output,14,13,Output at producers' prices,23,"Coke,refined petroleum products,nuclear fuel",23,0.0,M,0.0,
2004,Armenia,051,Output,14,13,Output at producers' prices,24,Chemicals and chemical products,24,1.0551E10,M,1.977876695E7,
2004,Armenia,051,Output,14,13,Output at producers' prices,25,Rubber and plastics products,25,2.691E9,M,5044513.49,
2004,Armenia,051,Output,14,13,Output at producers' prices,26,Non-metallic mineral products,26,1.8011E10,M,3.376318562E7,
2004,Armenia,051,Output,14,13,Output at producers' prices,27,Basic metals,27,6.7189E10,M,1.2595162282E8,
2004,Armenia,051,Output,14,13,Output at producers' prices,28,Fabricated metal products,28,5.041E9,M,9449792.83,
2004,Armenia,051,Output,14,13,Output at producers' prices,29,Machinery and equipment n.e.c.,29,7.519E9,M,1.40950193E7,
