sector,incumbent_complier_mass_current,new_complier_mass_current,lost_complier_type_mass,current_complier_mass,active_mass_current,new_complier_share_of_current_compliers,new_complier_share_of_active_current,incumbent_us_pct_vs_baseline,incumbent_rw_pct_vs_baseline,incumbent_upgrade_intensity_change,new_complier_avg_us_exports,new_complier_avg_rw_exports,new_complier_avg_upgrade_intensity,gamma_pct,baseline_gamma_pct
T,25259.18343691342,0.0,0.0,25259.18343691342,33678.91124921789,0.0,0.0,73.67613902357128,-0.006350796145458756,0.0,,,,0.0,10.5
O,0.0,22028.639691165532,0.0,22028.639691165532,308400.95567631745,1.0,0.07142857142857142,,,,21.065244495893577,127.82656382348088,2.0,0.0,10.5
T,24296.83916495033,0.0,0.0,24296.83916495033,40494.73194158389,0.0,0.0,33.190421748572085,0.3202540713317813,0.0,,,,5.0,10.5
O,0.0,0.0,0.0,0.0,309155.94111859915,0.0,0.0,,,,,,,5.0,10.5
T,22792.528104657245,0.0,0.0,22792.528104657245,37987.54684109541,0.0,0.0,2.837632501013882,0.27129576512474884,0.0,,,,10.0,10.5
O,0.0,0.0,0.0,0.0,314324.6006547594,0.0,0.0,,,,,,,10.0,10.5
T,21563.70801009771,0.0,0.0030430565405485934,21563.70801009771,43127.41602019543,0.0,0.0,-19.844457150078817,0.2073167884214478,0.0,,,,15.0,10.5
O,0.0,0.0,0.0,0.0,318434.84553274314,0.0,0.0,,,,,,,15.0,10.5
T,20677.32044052639,0.0,0.028571428571428574,20677.32044052639,41354.64088105279,0.0,0.0,-36.992949951701256,0.11141119785069963,0.0,,,,20.0,10.5
O,0.0,0.0,0.0,0.0,322553.2996174091,0.0,0.0,,,,,,,20.0,10.5
T,20045.575331632856,0.0,0.028571428571428574,20045.575331632856,40091.15066326572,0.0,0.0,-49.950327634417356,0.258883916228166,0.0,,,,25.0,10.5
O,0.0,0.0,0.0,0.0,325356.8159169302,0.0,0.0,,,,,,,25.0,10.5
T,19490.081813196837,0.0,0.028571428571428574,19490.081813196837,38980.16362639368,0.0,0.0,-59.96378401867311,0.36336067632083263,0.0,,,,30.0,10.5
O,0.0,0.0,0.0,0.0,327801.92290012556,0.0,0.0,,,,,,,30.0,10.5
